shapeID,shapeLabel,propertyID,path,propertyLabel,AltPropertyID,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note
,,dateType,/resource/dates/dateType,date type,dct:dateAccepted; dct:available; dct:date; dct:dateCopyrighted; dct:created; dct:issued; dct:date; dct:dateSubmitted; dct:modified; dct:valid; dct:date,TRUE,FALSE,,xsd:string,,"Accepted, Available, Collected, Copyrighted, Created, Issued, Other, Submitted, Updated, Valid, Withdrawn",picklist,
,,dateInformation,/resource/dates/dateInformation,date information,,FALSE,FALSE,,xsd:anySimpleType,,,,Not a valid data type for TAP
,,,,,,,,,,,,,
alternateidentifier-S,Alternate Identifiers,alternateIdentifier,/resource/alternateIdentifers/alternateIdentifier,alternateIdentifier,dct:identifier,FALSE,TRUE,,xsd:string,,,,
,,alternateIdentifierType,/resource/alternateIdentifers/alternateIdentifierType,alternateIdentifierType,METS:metsDocumentID/TYPE,TRUE,FALSE,,xsd:anySimpleType,,,,Not a valid data type for TAP
,,,,,,,,,,,,,
relatedIdentifier-S,Related Identifiers,relatedIdentifier,/resource/relatedIdentifiers/relatedIdentifier,related identifier,dct:relation,FALSE,FALSE,,xsd:string,,,,
,,resourceTypeGeneral,/resource/relatedIdentifiers/resourceTypeGeneral,general resource type,dct:type,FALSE,FALSE,,xsd:string,,[link],picklist,
,,relatedIdentifierType,/resource/relatedIdentifiers/relatedIdentifierType,related identifier type,,TRUE,FALSE,,xsd:string,,[link],picklist,
,,relationType,/resource/relatedIdentifiers/relationType,relationType,"dct:isReferencedBy; 
dct:references; 
dct:isVersionOf; 
dct:hasVersion; 
dct:isFormatOf; 
dct:isPartOf; 
dct:hasPart; 
dct:isReplacedBy; 
dct:replaces; 
dct:source; 
dct:relation; 
dct:relation
",TRUE,FALSE,,xsd:string,,[link],picklist,
,,relatedMetadataScheme,/resource/relatedIdentifiers/relatedMetadataScheme,related metadata scheme,,FALSE,FALSE,,xsd:anySimpleType,,,,
,,schemeURI,/resource/relatedIdentifiers/schemeURI,scheme URI,,FALSE,FALSE,,xsd:anyURI,,,,
,,schemeType,/resource/relatedIdentifiers/schemeType,scheme type,,FALSE,FALSE,,xsd:anySimpleType,,,,
,,,,,,,,,,,,,
rightsList-S,Rights List,rights ,/resource/rightsList/rights,rights,dct:rights,TRUE,FALSE,,xsd:string,,,,The first rights listed is treated as copyright.
,,schemeURI,/resource/rightsList/schemaURI,rights URI,dct:rights,FALSE,FALSE,,xsd:anyURI,,,,
,,rightsIdentifier,/resource/rightsList/rightsIdentifier,rights Identifier,dct:rights,FALSE,FALSE,,xsd:anySimpleType,,,,Not a valid data type for TAP
,,rightsIdentifierScheme,/resource/rightsList/rightsIdentifierScheme,rights Identifier Scheme,,FALSE,FALSE,,xsd:anySimpleType,,,,Not a valid data type for TAP
,,,,,,,,,,,,,
descriptions-S,Descriptions,description,/resource/descriptions/description,description,dct:description,TRUE,FALSE,,[mixed content],,,,Not sure if this is a valid type for TAP or not.
,,descriptionType,/resource/descriptions/descriptionType,description Type,dct:abstract; dct:description; dct:description; dct:tableOfContents; dct:description; dct:description,TRUE,FALSE,,xsd:string,,"Abstract, Methods, SeriesInformation, TableOfContents, TechnicalInfo, Other",picklist,
,,br,/resource/descriptions/br,??,,FALSE,FALSE,,xsd:language,,,,
